_source_flow_id,_source_flow_final,_source_source_ip,_source_destination_ip,_source_network_bytes,_source_network_transport,_source_@timestamp,_source_event_duration,_source_destination_port,_source_source_port,label
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjsoo,False,190.215.171.14,53.179.129.5,950151.0,tcp,2021-05-20T16:06:50.195Z,5098334271960,9200.0,35506.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjsoo,False,190.215.171.14,190.215.171.13,950151.0,tcp,2021-05-20T16:06:50.195Z,5098334225330,9200.0,35506.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjqIo,False,190.215.171.14,53.179.129.5,5432972.0,tcp,2021-05-20T16:06:50.195Z,5098333570147,9200.0,35496.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjqIo,False,190.215.171.14,190.215.171.13,5432972.0,tcp,2021-05-20T16:06:50.195Z,5098333531528,9200.0,35496.0,0
EAT/////AP//////CP8AAAEKa6Q7wKhUmOsYvsw,False,190.215.171.11,53.180.71.201,866084.0,tcp,2021-05-20T16:06:50.195Z,5098332568360,6379.0,52414.0,0
EAT/////AP//////CP8AAAHAqFSWwKhUmOsYvsw,False,190.215.171.11,190.215.171.0,866084.0,tcp,2021-05-20T16:06:50.195Z,5098332491331,6379.0,52414.0,0
EAT/////AP//////CP8AAAEKYAABwKhUkbsBmLo,False,190.215.171.6,53.191.56.26,722051.0,tcp,2021-05-20T16:06:50.195Z,5098849343071,443.0,47768.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZciY,False,240.16.203.232,240.16.203.233,722051.0,tcp,2021-05-20T16:06:50.195Z,5098849311541,6443.0,9842.0,0
EAT/////AP//////CP8AAAEKYAABwKhUlbsB+Lc,False,190.215.171.2,53.191.56.26,722708.0,tcp,2021-05-20T16:06:50.195Z,5098849245591,443.0,47096.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZjhk,False,240.16.203.232,240.16.203.233,722708.0,tcp,2021-05-20T16:06:50.195Z,5098849213619,6443.0,6542.0,0
EAT/////AP//////CP8AAAEKYAABwKhUibsBhpg,False,190.215.171.22,53.191.56.26,718649.0,tcp,2021-05-20T16:06:50.195Z,5098849177795,443.0,39046.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZZYI,False,240.16.203.232,240.16.203.233,718649.0,tcp,2021-05-20T16:06:50.195Z,5098849145893,6443.0,33381.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjroo,False,190.215.171.14,53.179.129.5,952626.0,tcp,2021-05-20T16:06:50.195Z,5098334026311,9200.0,35502.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjroo,False,190.215.171.14,190.215.171.13,952626.0,tcp,2021-05-20T16:06:50.195Z,5098333955722,9200.0,35502.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjfIw,False,190.215.171.14,53.179.129.5,1018131.0,tcp,2021-05-20T16:06:50.195Z,5098328283119,9200.0,35964.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjfIw,False,190.215.171.14,190.215.171.13,1018131.0,tcp,2021-05-20T16:06:50.195Z,5098328238451,9200.0,35964.0,0
EAT/////AP//////CP8AAAEKa6Q7wKhUmesYRrk,False,190.215.171.10,53.180.71.201,865887.0,tcp,2021-05-20T16:06:50.195Z,5098842490684,6379.0,47430.0,0
EAT/////AP//////CP8AAAHAqFSWwKhUmesYRrk,False,190.215.171.10,190.215.171.0,865887.0,tcp,2021-05-20T16:06:50.195Z,5098842447429,6379.0,47430.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjPIo,False,190.215.171.14,53.179.129.5,1019714.0,tcp,2021-05-20T16:06:50.195Z,5098328238844,9200.0,35388.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjPIo,False,190.215.171.14,190.215.171.13,1019714.0,tcp,2021-05-20T16:06:50.195Z,5098328167002,9200.0,35388.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjMoo,False,190.215.171.14,53.179.129.5,1016888.0,tcp,2021-05-20T16:06:50.195Z,5097827484626,9200.0,35378.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjMoo,False,190.215.171.14,190.215.171.13,1016888.0,tcp,2021-05-20T16:06:50.195Z,5097827441701,9200.0,35378.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjMIo,False,190.215.171.14,53.179.129.5,1019710.0,tcp,2021-05-20T16:06:50.195Z,5097828225359,9200.0,35376.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjMIo,False,190.215.171.14,190.215.171.13,1019710.0,tcp,2021-05-20T16:06:50.195Z,5097828194531,9200.0,35376.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjfow,False,190.215.171.14,53.179.129.5,1016697.0,tcp,2021-05-20T16:06:50.195Z,5097825840918,9200.0,35966.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjfow,False,190.215.171.14,190.215.171.13,1016697.0,tcp,2021-05-20T16:06:50.195Z,5097825844231,9200.0,35966.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjsIo,False,190.215.171.14,53.179.129.5,952587.0,tcp,2021-05-20T16:06:50.195Z,5098343951705,9200.0,35504.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjsIo,False,190.215.171.14,190.215.171.13,952587.0,tcp,2021-05-20T16:06:50.195Z,5098343921867,9200.0,35504.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjvok,False,190.215.171.14,53.179.129.5,784619.0,tcp,2021-05-20T16:06:50.195Z,5098337055619,9200.0,35262.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjvok,False,190.215.171.14,190.215.171.13,784619.0,tcp,2021-05-20T16:06:50.195Z,5098337013191,9200.0,35262.0,0
EAT/////AP//////CP8AAAEKYAABwKhUjbsBRoI,False,190.215.171.18,53.191.56.26,3171141.0,tcp,2021-05-20T16:06:50.195Z,5094719416351,443.0,33350.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZDZA,False,240.16.203.232,240.16.203.233,3171141.0,tcp,2021-05-20T16:06:50.195Z,5094719412433,6443.0,36877.0,0
EAT/////AP//////CP8AAAHAqFSDwKhUplbpNCE,False,190.215.171.32,190.215.171.30,168096.0,tcp,2021-05-20T16:06:50.195Z,5090084435521,59734.0,8500.0,0
EAT/////AP//////CP8AAAHAqFSDwKhUplTpNCE,False,190.215.171.32,190.215.171.30,168096.0,tcp,2021-05-20T16:06:50.195Z,5090084355222,59732.0,8500.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjfI4,False,190.215.171.14,53.179.129.5,765676.0,tcp,2021-05-20T16:06:50.195Z,4977761585709,9200.0,36476.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjfI4,False,190.215.171.14,190.215.171.13,765676.0,tcp,2021-05-20T16:06:50.195Z,4977761551022,9200.0,36476.0,0
EAT/////AP//////CP8AAAEKYAABwKhUlLsB+KA,False,190.215.171.3,53.191.56.26,693005.0,tcp,2021-05-20T16:06:50.195Z,4864319247719,443.0,41208.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZY74,False,240.16.203.232,240.16.203.233,693005.0,tcp,2021-05-20T16:06:50.195Z,4864319242829,6443.0,48739.0,0
EAT/////AP//////CP8AAAEKYAABwKhUj7sBQKA,False,190.215.171.17,53.191.56.26,692753.0,tcp,2021-05-20T16:06:50.195Z,4864319426200,443.0,41024.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZzQY,False,240.16.203.232,240.16.203.233,692753.0,tcp,2021-05-20T16:06:50.195Z,4864319425152,6443.0,1741.0,0
EAT/////AP//////CP8AAAEKYAABwKhUirsBKOU,False,190.215.171.21,53.191.56.26,698452.0,tcp,2021-05-20T16:06:50.195Z,4864319271917,443.0,58664.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZGqo,False,240.16.203.232,240.16.203.233,698452.0,tcp,2021-05-20T16:06:50.195Z,4864319270919,6443.0,43546.0,0
EAT/////AP//////CP8AAAEKYAABwKhUjrsB1tQ,False,190.215.171.16,53.191.56.26,687461.0,tcp,2021-05-20T16:06:50.195Z,4417654662512,443.0,54486.0,0
EAT/////AP//////CP8AAAEKYAABwKhUnLsBEpM,False,190.215.171.12,53.191.56.26,12336802.0,tcp,2021-05-20T16:06:50.195Z,4417961813397,443.0,37650.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZdOU,False,240.16.203.232,240.16.203.233,12336802.0,tcp,2021-05-20T16:06:50.195Z,4417961794598,6443.0,58740.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjHKE,False,190.215.171.14,53.179.129.5,587944.0,tcp,2021-05-20T16:06:50.195Z,4417445960133,9200.0,41244.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjHKE,False,190.215.171.14,190.215.171.13,587944.0,tcp,2021-05-20T16:06:50.195Z,4417445915810,9200.0,41244.0,0
EAT/////AP//////CP8AAAEKAAIPwKhUhKoCAQg,False,190.215.171.27,53.255.61.238,735352000.0,tcp,2021-05-20T16:06:50.195Z,4417962935528,682.0,2049.0,0
EAT/////AP//////CP8AAAEKYAABwKhUhLsBdu0,False,190.215.171.27,53.191.56.26,7929820.0,tcp,2021-05-20T16:06:50.195Z,4417446002412,443.0,60790.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZ5Gk,False,240.16.203.232,240.16.203.233,7929820.0,tcp,2021-05-20T16:06:50.195Z,4417446000328,6443.0,27108.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjcqE,False,190.215.171.14,53.179.129.5,587877.0,tcp,2021-05-20T16:06:50.195Z,4417442559646,9200.0,41330.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjcqE,False,190.215.171.14,190.215.171.13,587877.0,tcp,2021-05-20T16:06:50.195Z,4417442507623,9200.0,41330.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjeKE,False,190.215.171.14,53.179.129.5,13188242.0,tcp,2021-05-20T16:06:50.195Z,4417955953725,9200.0,41336.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjeKE,False,190.215.171.14,190.215.171.13,13188242.0,tcp,2021-05-20T16:06:50.195Z,4417955922572,9200.0,41336.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjbqE,False,190.215.171.14,53.179.129.5,647631.0,tcp,2021-05-20T16:06:50.195Z,4417442781274,9200.0,41326.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjbqE,False,190.215.171.14,190.215.171.13,647631.0,tcp,2021-05-20T16:06:50.195Z,4417442741290,9200.0,41326.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjeqE,False,190.215.171.14,53.179.129.5,594647.0,tcp,2021-05-20T16:06:50.195Z,4417442538251,9200.0,41338.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjeqE,False,190.215.171.14,190.215.171.13,594647.0,tcp,2021-05-20T16:06:50.195Z,4417442501080,9200.0,41338.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjcKE,False,190.215.171.14,53.179.129.5,850355.0,tcp,2021-05-20T16:06:50.195Z,4417442744834,9200.0,41328.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjcKE,False,190.215.171.14,190.215.171.13,850355.0,tcp,2021-05-20T16:06:50.195Z,4417442705517,9200.0,41328.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjdqE,False,190.215.171.14,53.179.129.5,675323.0,tcp,2021-05-20T16:06:50.195Z,4417358685052,9200.0,41334.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjdqE,False,190.215.171.14,190.215.171.13,675323.0,tcp,2021-05-20T16:06:50.195Z,4417358631467,9200.0,41334.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjdKE,False,190.215.171.14,53.179.129.5,603307.0,tcp,2021-05-20T16:06:50.195Z,4417358460804,9200.0,41332.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjdKE,False,190.215.171.14,190.215.171.13,603307.0,tcp,2021-05-20T16:06:50.195Z,4417358416278,9200.0,41332.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZ0uY,False,240.16.203.233,240.16.203.232,5133717.0,tcp,2021-05-20T16:06:50.195Z,4417869868982,59090.0,6443.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjUqE,False,190.215.171.14,53.179.129.5,587884.0,tcp,2021-05-20T16:06:50.195Z,4416560273057,9200.0,41298.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjUqE,False,190.215.171.14,190.215.171.13,587884.0,tcp,2021-05-20T16:06:50.195Z,4416560171436,9200.0,41298.0,0
EAT/////AP//////CP8AAAEKYAABwKhUkrsBZrA,False,190.215.171.4,53.191.56.26,7103030.0,tcp,2021-05-20T16:06:50.195Z,4417076334356,443.0,45158.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZ9i4,False,240.16.203.232,240.16.203.233,7103030.0,tcp,2021-05-20T16:06:50.195Z,4417076331356,6443.0,12022.0,0
EAT/////AP//////CP8AAAEKYAABwKhUi7sBesE,False,190.215.171.20,53.191.56.26,3163282.0,tcp,2021-05-20T16:06:50.195Z,4414472692462,443.0,49530.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZU40,False,240.16.203.232,240.16.203.233,3163282.0,tcp,2021-05-20T16:06:50.195Z,4414472690260,6443.0,36179.0,0
EAT/////AP//////CP8AAAEKYAABwKhUjLsBpIM,False,190.215.171.19,53.191.56.26,649884.0,tcp,2021-05-20T16:06:50.195Z,4415776201730,443.0,33700.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZS3M,False,240.16.203.232,240.16.203.233,649884.0,tcp,2021-05-20T16:06:50.195Z,4415776197315,6443.0,29515.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjUKE,False,190.215.171.13,190.215.171.14,610341.0,tcp,2021-05-20T16:06:50.195Z,4415691980030,41296.0,9200.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjUKE,False,53.179.129.5,190.215.171.14,610341.0,tcp,2021-05-20T16:06:50.195Z,4415691975654,41296.0,9200.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZ0+A,False,240.16.203.233,240.16.203.232,7868658.0,tcp,2021-05-20T16:06:50.195Z,4416206111199,57555.0,6443.0,0
EAT/////AP//////CP8AAAEKYAABwKhUg7sBKNw,False,53.191.56.26,190.215.171.30,7868658.0,tcp,2021-05-20T16:06:50.195Z,4416206079208,56360.0,443.0,0
EAT/////AP//////CP8AAAEKYAABwKhUkLsB0Js,False,190.215.171.7,53.191.56.26,3118376.0,tcp,2021-05-20T16:06:50.195Z,4413397310278,443.0,39888.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZEHM,False,240.16.203.232,240.16.203.233,3118376.0,tcp,2021-05-20T16:06:50.195Z,4413397300077,6443.0,29456.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjmKE,False,190.215.171.14,53.179.129.5,599537.0,tcp,2021-05-20T16:06:50.195Z,4414149149754,9200.0,41368.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjmKE,False,190.215.171.14,190.215.171.13,599537.0,tcp,2021-05-20T16:06:50.195Z,4414149100564,9200.0,41368.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjmqE,False,190.215.171.14,53.179.129.5,626961.0,tcp,2021-05-20T16:06:50.195Z,4413064069277,9200.0,41370.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjmqE,False,190.215.171.14,190.215.171.13,626961.0,tcp,2021-05-20T16:06:50.195Z,4413064031185,9200.0,41370.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZ7Iw,False,240.16.203.232,240.16.203.233,687354.0,tcp,2021-05-20T16:06:50.195Z,4412044620913,6443.0,36076.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnPAjRtw,False,190.215.171.12,53.179.129.5,444366.0,tcp,2021-05-20T16:06:50.195Z,4410125614058,9200.0,56390.0,0
EAT/////AP//////CP8AAAHAqFScwKhUnUbc8CM,False,190.215.171.12,190.215.171.13,444366.0,tcp,2021-05-20T16:06:50.195Z,4410125670246,9200.0,56390.0,0
EAT/////AP//////CP8AAAHAqFSDwKhUpQi3NCE,False,190.215.171.30,190.215.171.34,158848.0,tcp,2021-05-20T16:06:50.195Z,4395273289981,8500.0,46856.0,0
EAT/////AP//////CP8AAAHAqFSDwKhUpQq3NCE,False,190.215.171.30,190.215.171.34,158848.0,tcp,2021-05-20T16:06:50.195Z,4395273111148,8500.0,46858.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZ8Xg,False,240.16.203.232,240.16.203.233,173090.0,tcp,2021-05-20T16:06:50.195Z,4390579590843,6443.0,30961.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZFuc,False,240.16.203.233,240.16.203.232,66396.0,tcp,2021-05-20T16:06:50.195Z,4393597014277,59158.0,6443.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjOqI,False,190.215.171.14,53.179.129.5,584195.0,tcp,2021-05-20T16:06:50.195Z,4351342767426,9200.0,41530.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjOqI,False,190.215.171.14,190.215.171.13,584195.0,tcp,2021-05-20T16:06:50.195Z,4351342706713,9200.0,41530.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjPKI,False,190.215.171.14,53.179.129.5,2550242.0,tcp,2021-05-20T16:06:50.195Z,4351855656326,9200.0,41532.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjPKI,False,190.215.171.14,190.215.171.13,2550242.0,tcp,2021-05-20T16:06:50.195Z,4351855615683,9200.0,41532.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjPqI,False,190.215.171.14,53.179.129.5,584365.0,tcp,2021-05-20T16:06:50.195Z,4351343232651,9200.0,41534.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjPqI,False,190.215.171.14,190.215.171.13,584365.0,tcp,2021-05-20T16:06:50.195Z,4351343187099,9200.0,41534.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjQKI,False,190.215.171.14,53.179.129.5,584654.0,tcp,2021-05-20T16:06:50.195Z,4351854994397,9200.0,41536.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjQKI,False,190.215.171.14,190.215.171.13,584654.0,tcp,2021-05-20T16:06:50.195Z,4351854953962,9200.0,41536.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjQqI,False,190.215.171.14,53.179.129.5,584466.0,tcp,2021-05-20T16:06:50.195Z,4351342650116,9200.0,41538.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjQqI,False,190.215.171.14,190.215.171.13,584466.0,tcp,2021-05-20T16:06:50.195Z,4351342596580,9200.0,41538.0,0
